poi,presenze,year,month,day,doy,dow,week,hour,holiday,festive,temperature,humidity,pressure,wind,rain
42,3,2014,3,25,84,2,13,0,0,0,9.5,62.47,1008.43,5.09,0.24
42,2,2014,3,25,84,2,13,1,0,0,10.36,61.65,1006.72,6.49,0.53
42,1,2014,3,25,84,2,13,2,0,0,9.59,67.36,1005.55,5.21,0.75
42,1,2014,3,26,85,3,13,0,0,0,10.68,62.45,1008.63,8.04,0.72
42,2,2014,3,26,85,3,13,1,0,0,11.51,59.63,1008.65,7.92,0.91
42,1,2014,3,26,85,3,13,2,0,0,10.67,63.36,1008.87,6.03,1.6
42,1,2014,3,27,86,4,13,0,0,0,11.9,60.58,1006.0,10.25,2.16
42,2,2014,3,27,86,4,13,1,0,0,13.01,57.17,1004.78,9.67,2.86
42,3,2014,3,27,86,4,13,2,0,0,12.59,59.23,1004.52,7.4,3.75
42,1,2014,3,28,87,5,13,0,0,0,14.29,54.75,1013.27,6.1,0.45
42,3,2014,3,28,87,5,13,1,0,0,16.02,49.04,1013.58,6.62,0.56
42,1,2014,3,28,87,5,13,2,0,0,15.78,49.84,1014.25,5.4,0.59
42,1,2014,3,29,88,6,13,0,1,0,16.21,50.03,1020.77,4.31,0.01
42,4,2014,3,29,88,6,13,1,1,0,17.56,45.53,1019.43,5.36,0.04
42,3,2014,3,29,88,6,13,2,1,0,16.44,49.33,1017.43,3.78,0.11
42,2,2014,3,30,89,7,13,0,1,0,14.41,58.72,1018.16,3.5,0.0
42,4,2014,3,30,89,7,13,1,1,0,17.71,46.91,1015.8,5.54,0.0
42,2,2014,3,30,89,7,13,2,1,0,17.48,47.72,1012.61,6.12,0.0
42,3,2014,6,1,152,7,22,0,1,0,19.45,55.86,1015.54,4.69,0.19
42,4,2014,6,1,152,7,22,1,1,0,22.05,45.43,1014.89,5.71,0.2
42,3,2014,6,1,152,7,22,2,1,0,22.12,44.49,1013.89,5.7,0.24
42,2,2014,6,2,153,1,23,0,0,1,20.55,54.45,1015.02,4.15,0.21
42,3,2014,6,2,153,1,23,1,0,1,22.39,47.68,1013.68,5.62,0.26
42,1,2014,6,2,153,1,23,2,0,1,22.3,48.39,1012.39,5.13,0.38
42,2,2014,6,3,154,2,23,0,0,0,21.3,55.37,1012.47,4.38,0.3
42,3,2014,6,3,154,2,23,1,0,0,22.68,50.17,1010.94,5.97,0.4
42,2,2014,6,3,154,2,23,2,0,0,21.58,54.48,1010.08,5.83,1.04
42,1,2014,6,4,155,3,23,0,0,0,21.29,56.91,1009.42,4.0,0.31
42,3,2014,6,4,155,3,23,1,0,0,22.9,52.16,1009.02,5.37,0.35
42,3,2014,6,4,155,3,23,2,0,0,22.36,56.28,1008.1,4.88,0.45
42,1,2014,6,5,156,4,23,0,0,0,22.22,58.72,1013.78,4.48,2.92
42,3,2014,6,5,156,4,23,1,0,0,23.75,52.79,1013.6,5.14,3.13
42,2,2014,6,5,156,4,23,2,0,0,24.1,50.8,1012.81,5.25,3.22
42,2,2014,6,6,157,5,23,0,0,0,22.88,58.98,1017.5,3.33,0.15
42,3,2014,6,6,157,5,23,1,0,0,25.82,50.02,1016.83,5.03,0.15
42,3,2014,6,6,157,5,23,2,0,0,26.16,49.2,1015.55,4.76,0.15
42,2,2014,6,7,158,6,23,0,1,0,24.59,58.16,1016.51,2.89,0.05
42,4,2014,6,7,158,6,23,1,1,0,27.72,46.76,1016.22,5.04,0.06
42,3,2014,6,7,158,6,23,2,1,0,28.12,44.78,1014.83,4.77,0.21
42,3,2014,6,8,159,7,23,0,1,0,26.44,54.41,1017.85,3.48,0.0
42,4,2014,6,8,159,7,23,1,1,0,29.64,44.25,1016.77,5.52,0.0
42,2,2014,6,8,159,7,23,2,1,0,29.76,42.55,1014.08,5.58,0.01
42,1,2014,6,9,160,1,24,1,0,0,30.37,44.12,1015.09,5.52,0.18
42,2,2014,6,9,160,1,24,2,0,0,30.06,45.13,1014.92,5.33,0.36
42,1,2014,6,10,161,2,24,0,0,0,27.05,52.95,1016.31,2.96,0.21
42,4,2014,6,10,161,2,24,1,0,0,30.18,42.25,1014.86,5.16,0.37
42,1,2014,6,10,161,2,24,2,0,0,29.58,42.95,1014.26,5.54,0.47
42,1,2014,6,11,162,3,24,0,0,0,29.52,48.4,1014.21,3.46,0.02
42,3,2014,6,11,162,3,24,1,0,0,30.27,44.28,1013.77,4.66,0.07
42,2,2014,6,11,162,3,24,2,0,0,29.24,45.19,1014.93,4.97,0.31
